price_t,bedrooms,bathrooms,sqft_living_t,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement_t,yr_built,yr_renovated,zip_range3,zip1,zip2,zip3,year_1,year_2,log_sqft_lot,price,sqft_living,sqft_basement
700000,4,1,1300,1651359,1,0,3,4,6,1300,0,1920,0,1,1,0,0,0,0,14.31710914,700000,1300,0
190000,2,1,710,1164794,1,0,0,2,5,710,0,1915,0,1,1,0,0,0,0,13.96805481,190000,710,0
542500,5,3.25,3010,1074218,1.5,0,0,5,8,2010,1,1931,0,1,1,0,0,0,0,13.88710351,542500,3010,1000
855000,4,3.5,4030,1024068,2,0,0,3,10,4030,0,2006,0,2,0,1,0,0,1,13.83929349,855000,4030,0
998000,4,3.25,3770,982998,2,0,0,3,10,3770,0,1992,0,2,0,1,0,0,0,13.79836236,998000,3770,0
790000,2,3,2560,982278,1,0,0,3,8,2560,0,2004,0,1,1,0,0,0,1,13.79762964,790000,2560,0
1129574,2,2.5,3900,920423,2,0,0,3,12,3900,0,2009,0,2,0,1,0,0,1,13.73258863,2000000,3900,0
1129574,4,3.25,3920,881654,3,0,3,3,11,3920,0,2002,0,1,1,0,0,0,0,13.68955497,1650000,3920,0
1129574,4,5.5,4234.5,871200,2,0,2,3,11,6530,0,2008,0,1,1,0,0,0,1,13.67762685,937500,5545,1940
937500,4,4,4234.5,871200,2,0,0,3,11,3605,1,2003,0,1,1,0,0,0,1,13.67762685,1600000,6530,0
550000,3,2,3650,843309,2,0,0,4,7,3650,0,1991,0,3,0,0,1,0,0,13.64508872,550000,3650,0
750000,3,2.5,2350,715690,1.5,0,0,4,9,2350,0,1979,0,1,1,0,0,0,0,13.48100239,750000,2350,0
849900,2,2,2280,641203,2,0,0,3,9,2280,0,1990,0,3,0,0,1,0,0,13.37110138,849900,2280,0
700000,3,2.5,2530,623779,1,0,0,4,8,2530,0,1980,0,2,0,1,0,0,0,13.34355142,700000,2530,0
700000,2,1.75,1679,577605,2,0,0,3,9,1679,0,2001,0,3,0,0,1,0,0,13.26664552,700000,1679,0
425000,3,2.75,1360,542322,1,0,2,4,7,1140,1,1955,0,1,1,0,0,0,0,13.2036152,425000,1360,220
375000,1,1,800,533610,1.5,0,0,5,5,800,0,1950,0,2,0,1,0,0,0,13.18742051,375000,800,0
428000,3,1.75,1580,507038,1,0,2,4,7,1580,0,1985,0,1,1,0,0,0,0,13.13634123,428000,1580,0
999000,3,2.75,2830,505166,1,1,3,4,8,1830,1,1962,0,3,0,0,1,0,0,13.13264237,999000,2830,1000
920000,4,3.75,4030,503989,2,0,0,3,10,4030,0,2008,0,2,0,1,0,0,1,13.13030972,920000,4030,0
800000,5,1.75,1930,501376,2,0,0,3,7,1930,0,1930,0,1,1,0,0,0,0,13.1251116,800000,1930,0
350000,4,2.25,1570,499571,1,0,3,4,7,1570,0,1972,0,1,1,0,0,0,0,13.12150501,350000,1570,0
745000,5,4,4234.5,493534,2,0,0,5,9,3960,1,1975,0,1,1,0,0,0,0,13.10934703,745000,4720,760
667000,3,1.75,3320,478288,1.5,0,3,4,8,2260,1,1933,1982,1,1,0,0,0,0,13.07796834,667000,3320,1060
1129574,4,3.75,4234.5,453895,2,0,3,3,11,4360,1,1997,0,2,0,1,0,0,0,13.02562117,2140000,5150,790
569950,4,3.5,2700,443440,1.5,0,0,3,8,2700,0,1948,1997,2,0,1,0,0,0,13.00231778,569950,2700,0
950000,4,3,3230,438213,2,0,0,3,9,3230,0,1999,0,3,0,0,1,0,0,12.99046037,950000,3230,0
1080000,3,3,4020,435600,1.5,0,2,3,10,4020,0,1999,0,2,0,1,0,0,0,12.98447967,480000,3370,0
480000,4,3.5,3370,435600,2,0,3,3,9,3370,0,2005,0,2,0,1,0,0,1,12.98447967,1080000,4020,0
745000,3,2.5,2810,435600,2,0,0,3,9,2810,0,1995,0,2,0,1,0,0,0,12.98447967,575000,2690,0
575000,3,2,2690,435600,2,0,0,3,8,2690,0,1992,0,3,0,0,1,0,0,12.98447967,745000,2810,0
525000,3,2.25,2040,435600,2,0,2,4,7,2040,0,1983,0,1,1,0,0,0,0,12.98447967,525000,2040,0
330000,2,2,1550,435600,1.5,0,0,2,7,1550,0,1972,0,2,0,1,0,0,0,12.98447967,330000,1550,0
859000,3,2.5,2920,434728,2,0,3,4,8,2920,0,1999,0,2,0,1,0,0,0,12.98247583,859000,2920,0
790000,3,2.5,2640,432036,1.5,0,3,3,10,2640,0,1996,0,1,1,0,0,0,0,12.9762642,790000,2640,0
450000,3,2.5,2880,426452,2,0,3,3,7,2880,0,1979,0,3,0,0,1,0,0,12.9632551,450000,2880,0
